Id,Type of housing,Area,Price,Metro name,Metro distance,District,Living space,Ceiling height,Floor,Max Floor
0,квартира,75.2,7 500 000,Технологический институт,0.3,Адмиралтейский район,50.9,3.05,4,5
1,квартира,112.5,12 900 000,Владимирская,1.1,Адмиралтейский район,73.0,3.6,4,6
2,квартира,135.6,26 929 000,Приморская,1,Василеостровский район,78.4,3.31,10,16
3,квартира,143.6,23 769 000,Приморская,1,Василеостровский район,76.3,3.0,4,10
4,квартира,163.0,24 400 000,Приморская,0.9,Василеостровский район,73.9,3.0,2,8
5,квартира,137.6,20 291 000,Приморская,1,Василеостровский район,68.0,3.0,5,12
6,квартира,146.4,21 589 000,Приморская,1,Василеостровский район,70.2,3.0,5,12
7,квартира,159.2,32 616 000,Приморская,1,Василеостровский район,77.8,3.31,10,16
8,квартира,125.1,31 744 000,Приморская,1,Василеостровский район,77.4,3.29,15,16
9,квартира,68.6,11 358 000,Приморская,1,Василеостровский район,19.2,3.0,4,10
10,квартира,149.8,23 022 000,Приморская,0.9,Василеостровский район,66.0,3.0,9,9
11,квартира,143.6,24 668 000,Приморская,1,Василеостровский район,76.0,3.0,9,12
12,квартира,144.0,21 264 000,Приморская,1,Василеостровский район,68.5,3.0,6,12
13,квартира,68.6,11 460 000,Приморская,1,Василеостровский район,21.4,3.0,5,10
14,квартира,135.3,35 333 000,Приморская,1,Василеостровский район,78.2,3.29,15,16
15,квартира,125.9,21 032 000,Приморская,1,Василеостровский район,77.9,3.29,8,16
16,квартира,156.1,23 364 000,Приморская,0.9,Василеостровский район,66.1,3.0,4,9
17,квартира,111.5,16 447 000,Приморская,0.9,Василеостровский район,43.7,3.0,3,9
18,квартира,65.3,10 909 000,Приморская,1,Василеостровский район,24.4,3.14,5,10
19,квартира,68.41,11 410 000,Василеостровская,1.6,Василеостровский район,31.02,2.7,2,10
20,квартира,43.0,4 230 000,Приморская,2.2,Василеостровский район,14.1,,5,19
21,квартира,72.0,9 100 000,Приморская,2.2,Василеостровский район,35.4,2.6,2,17
22,квартира,121.0,17 850 000,Приморская,0.9,Василеостровский район,54.7,3.14,2,8
23,квартира,129.9,19 289 000,Приморская,1,Василеостровский район,66.1,3.15,6,12
24,квартира,35.43,6 199 000,Приморская,2.4,Василеостровский район,17.2,,17,19
25,квартира,135.1,19 922 000,Приморская,1,Василеостровский район,69.4,3.0,7,12
26,квартира,143.5,23 753 000,Приморская,1,Василеостровский район,79.5,3.0,4,10
27,квартира,65.9,10 811 000,Приморская,1,Василеостровский район,20.0,,3,10
28,квартира,68.3,11 205 000,Приморская,1,Василеостровский район,21.7,3.0,3,10
29,квартира,138.5,20 998 000,Приморская,1,Василеостровский район,69.6,3.12,10,12
