Type of housing,Area,Price,Metro name,Metro distance,District,Living space,Ceiling height,Floor
квартира,75.20,7 500 000 руб,Технологический институт,0.3 км,Адмиралтейский район,50.90,3.05,4/5
квартира,112.50,12 900 000 руб,Владимирская,1.1 км,Адмиралтейский район,73.00,3.60,4/6
квартира,135.60,26 929 000 руб,Приморская,1 км,Василеостровский район,78.40,3.31,10/16
квартира,143.60,23 769 000 руб,Приморская,1 км,Василеостровский район,76.30,3.00,4/10
квартира,163.00,24 400 000 руб,Приморская,0.9 км,Василеостровский район,73.90,3.00,2/8
квартира,137.60,20 291 000 руб,Приморская,1 км,Василеостровский район,68.00,3.00,5/12
квартира,146.40,21 589 000 руб,Приморская,1 км,Василеостровский район,70.20,3.00,5/12
квартира,159.20,32 616 000 руб,Приморская,1 км,Василеостровский район,77.80,3.31,10/16
квартира,125.10,31 744 000 руб,Приморская,1 км,Василеостровский район,77.40,3.29,15/16
квартира,68.60,11 358 000 руб,Приморская,1 км,Василеостровский район,19.20,3.00,4/10
квартира,149.80,23 022 000 руб,Приморская,0.9 км,Василеостровский район,66.00,3.00,9/9
квартира,143.60,24 668 000 руб,Приморская,1 км,Василеостровский район,76.00,3.00,9/12
квартира,144.00,21 264 000 руб,Приморская,1 км,Василеостровский район,68.50,3.00,6/12
квартира,68.60,11 460 000 руб,Приморская,1 км,Василеостровский район,21.40,3.00,5/10
квартира,135.30,35 333 000 руб,Приморская,1 км,Василеостровский район,78.20,3.29,15/16
квартира,125.90,21 032 000 руб,Приморская,1 км,Василеостровский район,77.90,3.29,8/16
квартира,156.10,23 364 000 руб,Приморская,0.9 км,Василеостровский район,66.10,3.00,4/9
квартира,111.50,16 447 000 руб,Приморская,0.9 км,Василеостровский район,43.70,3.00,3/9
квартира,65.30,10 909 000 руб,Приморская,1 км,Василеостровский район,24.40,3.14,5/10
квартира,68.41,11 410 000 руб,Василеостровская,1.6 км,Василеостровский район,31.02,2.70,2/10
квартира,43.00,4 230 000 руб,Приморская,2.2 км,Василеостровский район,14.10,,5/19
квартира,72.00,9 100 000 руб,Приморская,2.2 км,Василеостровский район,35.40,2.60,2/17
квартира,121.00,17 850 000 руб,Приморская,0.9 км,Василеостровский район,54.70,3.14,2/8
квартира,129.90,19 289 000 руб,Приморская,1 км,Василеостровский район,66.10,3.15,6/12
квартира,35.43,6 199 000 руб,Приморская,2.4 км,Василеостровский район,17.20,,17/19
квартира,135.10,19 922 000 руб,Приморская,1 км,Василеостровский район,69.40,3.00,7/12
квартира,143.50,23 753 000 руб,Приморская,1 км,Василеостровский район,79.50,3.00,4/10
квартира,65.90,10 811 000 руб,Приморская,1 км,Василеостровский район,20.00,,3/10
квартира,68.30,11 205 000 руб,Приморская,1 км,Василеостровский район,21.70,3.00,3/10
квартира,138.50,20 998 000 руб,Приморская,1 км,Василеостровский район,69.60,3.12,10/12
квартира,252.70,41 064 000 руб,Приморская,1 км,Василеостровский район,136.00,,7/16
квартира,75.20,7 500 000 руб,Технологический институт,0.3 км,Адмиралтейский район,50.90,3.05,4/5
квартира,135.60,22 035 000 руб,Приморская,1 км,Василеостровский район,78.40,3.30,7/16
квартира,155.60,24 870 000 руб,Приморская,0.9 км,Василеостровский район,77.10,3.00,4/8
квартира,90.00,15 500 000 руб,Приморская,0.4 км,Василеостровский район,44.00,2.76,6/17
квартира,89.70,15 500 000 руб,Приморская,0.4 км,Василеостровский район,24.00,2.80,6/17
квартира,91.90,9 000 000 руб,Балтийская,2 км,Адмиралтейский район,56.10,2.74,1/5
квартира,144.10,21 847 000 руб,Приморская,1 км,Василеостровский район,68.20,3.00,10/12
квартира,91.10,25 200 000 руб,Василеостровская,1.5 км,Василеостровский район,64.70,3.10,8/9
квартира,72.00,9 100 000 руб,Приморская,2.2 км,Василеостровский район,35.50,,2/17
квартира,150.90,22 800 000 руб,Приморская,0.9 км,Василеостровский район,66.80,3.00,7/9
квартира,103.92,12 800 000 руб,Спортивная,1.1 км,Василеостровский район,61.90,3.10,3/6
квартира,108.00,10 250 000 руб,Технологический институт,0.6 км,Адмиралтейский район,64.40,3.40,4/6
квартира,33.51,5 500 000 руб,Приморская,2.4 км,Василеостровский район,14.03,,5/23
квартира,69.50,7 000 000 руб,Пушкинская,0.6 км,Адмиралтейский район,44.10,2.70,5/5
квартира,50.00,7 250 000 руб,Садовая,2.2 км,Адмиралтейский район,33.90,3.06,2/5
Студия,27.20,5 600 000 руб,Василеостровская,1.8 км,Василеостровский район,18.00,,10/10
квартира,84.00,11 900 000 руб,Садовая,0.4 км,Адмиралтейский район,33.00,3.10,1/5
квартира,111.00,11 900 000 руб,Фрунзенская,0.6 км,Адмиралтейский район,72.20,4.00,1/2
квартира,84.90,9 500 000 руб,Садовая,,Адмиралтейский район,42.00,3.31,4/4
квартира,67.00,7 200 000 руб,Нарвская,,Адмиралтейский район,38.00,2.80,3/5
квартира,71.00,8 500 000 руб,Приморская,0.8 км,Василеостровский район,47.50,2.65,8/9
квартира,155.70,23 304 000 руб,Приморская,0.9 км,Василеостровский район,65.70,3.00,5/9
квартира,154.90,23 805 000 руб,Приморская,0.9 км,Василеостровский район,65.60,3.00,8/9
квартира,68.80,11 391 000 руб,Приморская,1 км,Василеостровский район,21.20,3.00,4/10
квартира,87.00,14 899 000 руб,Приморская,1 км,Василеостровский район,37.90,3.33,1/16
квартира,66.80,10 959 000 руб,Приморская,1 км,Василеостровский район,18.80,3.00,3/10
квартира,64.90,9 570 000 руб,Приморская,0.9 км,Василеостровский район,22.60,3.00,2/8
квартира,126.60,19 974 000 руб,Приморская,1 км,Василеостровский район,78.10,3.28,5/16
квартира,96.30,14 300 000 руб,Приморская,1 км,Василеостровский район,49.00,3.00,9/12
квартира,135.10,21 176 000 руб,Приморская,1 км,Василеостровский район,78.00,3.30,4/16
квартира,125.80,19 589 000 руб,Приморская,1 км,Василеостровский район,77.90,3.32,3/16
квартира,75.20,7 500 000 руб,Технологический институт,0.3 км,Адмиралтейский район,50.90,3.05,4/5
квартира,96.50,14 230 000 руб,Приморская,1 км,Василеостровский район,46.60,3.00,4/12
квартира,163.50,24 785 000 руб,Приморская,0.9 км,Василеостровский район,73.40,3.00,5/8
квартира,126.20,19 911 000 руб,Приморская,1 км,Василеостровский район,78.10,3.28,5/16
квартира,125.80,19 719 000 руб,Приморская,1 км,Василеостровский район,77.90,3.30,4/16
